"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.05186,-34.95527,-83.2571428571429,-98.2514285714286,-88.28,-93.5533333333333,-92.5975,-90.0342857142857,-73,-88.688,-94.12,4,5,2,8235
-8.05124,-34.9589,-83.9357142857143,-95.0071428571429,-84.6371428571428,-99.26,-96.0175,-90.2742857142857,-90.1316666666667,-98.266,-78.38,5,7,2,8498
-8.05545,-34.95569,-94.4742857142857,-98.5685714285714,-98.48,-98.85,-89.215,-91.9514285714286,-77.1366666666667,-66.178,-91.28,6,5,1,7178
-8.04948,-34.95457,-79.3457142857143,-97.7507142857143,-79.6928571428572,-99.55,-98.725,-92.5142857142857,-82.88,-99.9346666666667,-96.61,3,5,3,8939
-8.05173,-34.94909,-89.7971428571429,-90.4171428571429,-89.4642857142857,-78.9483333333333,-87.8725,-84.8528571428571,-91.2616666666667,-94.8,-97.6,4,2,4,8306
-8.04646,-34.94531,-89.2671428571429,-94.4,-92.2535714285714,-92.8858333333333,-90.9375,-84.6365873015873,-87.0581666666667,-76.792,-96.92,3,3,7,9613
-8.05153,-34.94771,-89.47,-91.4242857142857,-95.8114285714286,-74.96,-87.01,-91.9,-95.1083333333333,-99.818,-97.6,4,2,5,8392
-8.04854,-34.95964,-78.64,-88.9471428571429,-70.64,-90.9033333333333,-89.83,-93.4357142857143,-82.54,-106.544,-85.58,4,7,3,9182
-8.04721,-34.9506,-88.5557142857143,-80.3157142857143,-87.0242857142857,-92.5083333333333,-92.04,-90.2014285714286,-90.0516666666667,-99.034,-94.4075,2,4,5,9489
-8.05904,-34.9479,-88.4971428571429,-92.1741558441558,-88.1385714285714,-94.375,-77.19,-74.36,-90.6719444444444,-92.7552727272727,-95.8575,8,3,5,6653
-8.05517,-34.94653,-88.43,-82.0235714285714,-85.0471428571429,-71.17,-70.955,-67.7228571428572,-86.9966666666667,-88.966,-97.255,6,1,5,7344
-8.05554,-34.95376,-90.78,-96.38,-93.73,-97.73,-90.36,-94.02,-77.625,-72.89,-93.05,6,4,2,7101
-8.05181,-34.94837,-88.0085714285714,-92.1671428571429,-91.3857142857143,-70.28,-85.0325,-81.8642857142857,-89.3716666666667,-91.868,-97.6,4,2,5,8267
-8.05215,-34.94816,-85.6971428571428,-86.05,-89.29,-63.34,-77.925,-90.22,-90.1916666666667,-90.704,-97.6,5,2,5,8056
-8.05648,-34.95068,-91.2185714285714,-92.1571428571429,-91.9266666666666,-86.1933333333333,-84.935,-86.625,-91.6233333333333,-90.598,-95.73,6,3,3,6800
-8.05069,-34.95316,-85.77,-95.7885714285714,-89.665,-93.08,-93.6675,-92.21,-92.465,-96.342,-98.2875,3,4,3,8629
-8.05569,-34.955,-93.8242857142857,-97.1028571428571,-94.5528571428571,-95.85,-92.6075,-91.4114285714286,-79.755,-74.244,-95.16,6,5,1,6978
-8.05183,-34.94817,-89.2571428571429,-98.49,-90.0085714285714,-65.53,-76.2575,-76.4657142857143,-89.2533333333333,-95.05,-97.6,4,2,5,8253
-8.04646,-34.94524,-89.2671428571429,-81.89,-92.2535714285714,-96.35,-90.9375,-83.1001587301587,-87.0581666666667,-76.2145,-96.92,3,3,7,9616
